team1,winner
Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Rising Pune Supergiant
Gujarat Lions,Kolkata Knight Riders
Rising Pune Supergiant,Kings XI Punjab
Royal Challengers Bangalore,Royal Challengers Bangalore
Gujarat Lions,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab
Delhi Daredevils,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians
Rising Pune Supergiant,Gujarat Lions
Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Delhi Daredevils
Gujarat Lions,Mumbai Indians
Rising Pune Supergiant,Rising Pune Supergiant
Delhi Daredevils,Kolkata Knight Riders
Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions
Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Rising Pune Supergiant
Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Kolkata Knight Riders
Rising Pune Supergiant,Rising Pune Supergiant
Rising Pune Supergiant,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Lions
Delhi Daredevils,Kolkata Knight Riders
Sunrisers Hyderabad,Sunrisers Hyderabad
Rising Pune Supergiant,Rising Pune Supergiant
Gujarat Lions,Mumbai Indians
Delhi Daredevils,Kings XI Punjab
Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians
Gujarat Lions,Rising Pune Supergiant
Sunrisers Hyderabad,Delhi Daredevils
Kolkata Knight Riders,Rising Pune Supergiant
Gujarat Lions,Delhi Daredevils
Kings XI Punjab,Kings XI Punjab
Rising Pune Supergiant,Rising Pune Supergiant
Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions
Mumbai Indians,Sunrisers Hyderabad
Kings XI Punjab,Kings XI Punjab
Gujarat Lions,Delhi Daredevils
Kings XI Punjab,Kings XI Punjab
Delhi Daredevils,Delhi Daredevils
Gujarat Lions,Sunrisers Hyderabad
Mumbai Indians,Mumbai Indians
Kings XI Punjab,Rising Pune Supergiant
Royal Challengers Bangalore,Royal Challengers Bangalore
Rising Pune Supergiant,Rising Pune Supergiant
Sunrisers Hyderabad,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians
Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils
Mumbai Indians,Royal Challengers Bangalore
Deccan Chargers,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals
Deccan Chargers,Delhi Daredevils
Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Rajasthan Royals
Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings
Mumbai Indians,Deccan Chargers
Delhi Daredevils,Kings XI Punjab
Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians
Delhi Daredevils,Delhi Daredevils
Deccan Chargers,Kings XI Punjab
Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils
Deccan Chargers,Royal Challengers Bangalore
Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Mumbai Indians
Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab
Chennai Super Kings,Deccan Chargers
Rajasthan Royals,Mumbai Indians
Delhi Daredevils,Chennai Super Kings
Kolkata Knight Riders,Kolkata Knight Riders
Deccan Chargers,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians
Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab
Kolkata Knight Riders,Kolkata Knight Riders
